No	cc_id	citation_id	USE	EXTEND	MENTION	NOTALGO	CitationContext
							
1173	96857489	103840103	0	0	1	0	"s with work in the field of gestural control of sound synthesis, processing and spatialisation, which has received wide attention in the field of sound and music computing during the last decade (e.g.=-=[7]-=- and [8]). MELE is closely related to tracking-based approaches such as TrakHue [9], where the live electronics are controlled via body motion. Recently a special focus on questions concerning gesture"
							
1174	76521561	78506299	0	0	0	1	"ed to every other neuron. Even if not completely realistic, we consider also this last case. 2.2. NEURONAL DYNAMICS We here discuss a neuronal network model based on self-organized criticality ideas (=-=Bak, 1996-=-). The model implements several physiological properties of real neurons: a continuous membrane potential, firing at threshold, synaptic plasticity, and pruning. In order to define the model we need t"
							
1177	125848932	142156997	0	0	0	1	"because it is quick, inexpensive, efficient, and can be administered to a large samples(Churchill, 1995; Sekaran, 2000). Fifth, this method has been widely used and accepted insmanagement literature (=-=Amaratunga et al., 2002-=-). Sixth, a number of constraints are found withinsthe research context that prevents the researcher from selecting additional data collection methods,ssuch as interviews (Sekaran, 2003). This will be"
							
1178	140822093	160388828	0	0	1	0	"unction was studied in [38]. A series of papers by Baccelli et al. demonstrated the power of stochastic geometry for modeling a wide range of problems within wireless communications, as summarized in =-=[39]-=-, [40]. We note that there have been several very helpful tutorials on applying stochastic geometry to wireless networks developed in the last year, including the comprehensive two-volume monograph by"
							
1180	131130797	149370292	0	0	0	1	"urces: www.wikipedia.com and www.aromaweb.com.sLiterature Review of Documented Health and Environmental Benefits Derivedsfrom Ornamental Horticulture ProductssFINAL REPORTsGeorge Morris Centre 32sby (=-=Relf, 1981-=-), horticultural activities bring about beneficial change through threesmechanisms:s"
							
1181	101787270	110565439	0	0	0	1	"good housing with access to supportive services in the form of appropriate technologies, in-house support elements and home care services to provide the care not available in-house. (Greater Edmonton =-=Foundation 1996-=-, p.16) G. Biology and Genetic Endowments Learnings: i. Biological and genetic factors which predispose people to arthritis can have widespread effects on seniors' independence. ""Arthritis is perhaps "
							
1184	111804964	124087097	0	0	0	1	"e assessed the role of MR in phagocytosis of unopsonized Ft LVS. Addition of soluble yeast mannan to culture medium is a well-established mechanism used to block MR binding via competitive inhibition =-=[29]-=-. Using this approach, we found that mannan inhibited MDM uptake of Ft in a dose-dependent manner (Fig. 2A). Phagocytosis was impaired significantly in medium containing 0.1 mg/ml or 1.0 mg/ml mannan "
							
1187	129577249	147118584	0	0	0	1	"uch approaches, classroom practice, and student outcomes, and that efforts to improveseducational outcomes should support faculty in obtaining the student-centered perspectivess(Gibbs & Coffey, 2004; =-=Ho, Watkins, & Kelly, 2001-=-).sHowever, this body of literature has been critiqued for insufficient conceptualization ofspsychological constructs, lack of attention to the influence of organizational contexts, and thestendency o"
							
1188	123741017	139412725	0	0	0	1	"ld strength, which agrees well with the experimental data [18]. 3.3. Ionic concentration effectSince the ionic concentration has a great effect on the electric potential distribution in microchannels =-=[46]-=-, here we model the flow rate versus the ionic concentration in an electroosmoticterface Science 304 (2006) 246"
							
1189	50151370	50293974	0	0	1	0	iable follows a double exponential (Laplace) distribution [13]. Monto Carlo studies also demonstrate that it works well in the cases of a mixture of normals or contaminated normal error distributions =-=[22]-=-. The robustness of LAD can also be quantified by the influence function (IF) which measures the effect of infinitesimal perturbation of one data point on the estimates in the summarization model. We 
							
1193	57821940	58532915	0	0	0	1	"case the operator changes the number of complexes by ?M = 1 with d = 0 or d = 1/2 for half-integer or integer spin S, respectively. We thus obtain ?C + (r)C(0)? ? Br ?? , ? = 1 , for half-integer S, =-=(18)-=- ? 4and ?C + (r)C(0)? ? Br ?? cos(kFr), ? = 1 ? + , for integer S. (19) ? 4 In our one-dimensional system we have no superconductivity in the literal sense. Our model does not have finite off-diagona"
							
1194	71913241	72917352	0	0	0	1	"-the-job search, employed workers are more likely to accept low wage offers for the moment and continue to seek for better employment opportunities. However, a model with exogenous on-the-job search (=-=Burdett & Mortensen 1998-=-) requires far too highEE-transition rates in order to replicate the degree of frictional wage dispersion found in the data. For this reason, we introduce variable on-the-job search and endogenous sep"
							
1195	55626507	56264145	0	0	1	0	"the time t ? 1 (nested clusters at 1st level), symbol at time t ? 2 (nested clusters at 2nd level), etc. length markov model, which is called Markovian architectural bias of recurrent neural networks =-=[21, 22]-=-. During training process, network weights usually expand from stable interval. Consequent bifurcations result in emergence of complex behavior. Analysis of dynamic emerged in training process is the "
							
1196	200511843	237530486	0	0	0	1	"r this reason in Reverse Mathematics the axiomatic method is applied to theorems about countable structures. So, even if its analysis is finer, its scope is much smaller then that of set theory. See (=-=Marcone 2009-=-), and (Simpson 2009) for a presentation of aims and methods of Reverse Mathematics. 69We say that a theory T has consistency strength stronger than a theory S if in first order Peano arithmetic (i.e."
							
1197	199338089	235816784	0	0	1	0	"dle the network protocol stack can incur a significant amount of overhead [30], there have been several proposals for bypassing the kernel and allowing user-space programs to talk directly to the NIC =-=[10, 84, 58, 25]-=-. Level 5 Networks [83] has produced an interesting NIC that is similar to a NIC designed for VIA [25], but instead of specifying a new protocol on top of their NIC, they implement TCP/IP at the user "
							
1198	35488317	35868159	0	0	1	0	"tly calculating every Di, with the cost of pruning less than that of the distance computations that it is removing. The most common and most promising [2, p. 810] solutions are k-d tree [3] and Elias =-=[4, 5]-=- methods, both of which use binning. The k-d tree is a strictly binary tree in which each node represents a partition of the k-dimensional space. The root of the tree represents the entire space, and "
							
1202	140031337	159675511	0	0	1	0	"ork describing computer vision systems for modeling and tracking human bodies (see [4] for a review). However, the vision research community has only recently begun to investigate gait as a biometric =-=[1, 6, 7, 8, 10, 12, 13]-=- We have developed a simple method for identifying walking humans based on body shape and gait. The method is based on matching 2D silhouettes extracted from key frames across the gait sequence. The b"
							
1203	5580324	5398217	0	0	0	1	"d on making special assumptions such as observing surface points in or near specularities [12], observing metals or diaelectrics [11], or having spectral measurements across the full visible spectrum =-=[13]-=-. More general techniques depend on estimating the illumination [18, 10]. If polychromatic light sources are collimated or surface geometry and spectral properties are separable, then these approaches"
							
1204	123323475	138834011	1	0	0	0	"fined by sets ofssemi-regular meshes) was proposed by Payan et al. [11]. The proposed coding scheme combines assegmentation for determining the visible regions, and an allocation process (detailed in =-=[8]-=-) forsimproving the visual quality of the encoded scene.sThese two previously cited region-based view-dependent coding methods [9] and [11] define twosdifferent segmentations: the first one is fixed d"
							
1206	202567559	240485409	0	0	1	0	"an O(n1/3) quantum query algorithm for Collision [BHT98]. Aaronson and Shi then gave a matching ?(n1/3) lower bound for Collision via the polynomial method, requiring that |?| ? 3n/2 [AS04] (Aaronson =-=[Aar02]-=- gave the first non-trivial lower bound, ?(n1/5), which was then improved by Shi [Shi02]). Due to a particular reduction from Collision to Element Distinctness, their lower bound also implied an ?(n2/"
							
1207	77141756	79203473	0	0	0	1	", the relative concentrations of GSSG to GSH in the lavage fluids were expressed as the GSSG:GSH ratios, which is a standard method of assessing oxidation of the GSH redox couple in biological fluids =-=[45]-=-. Lung tissue hydrogen peroxide analysis As previously described [44], lung tissue (n = 6) was isolated and hydrogen peroxide was quantified using the Amplex Red reagent (Molecular Probes, OR), a high"
							
1208	5683913	5495139	0	0	1	0	"tc.) so that the computed result encloses the exact result. Several implementations of interval operations exist, either as libraries (Knuppel 1994) or as extensions to regular programming languages (=-=Klatte et al. 1992-=-). In our implementation, we have used the PROFIL/BIAS library (Knuppel 1994). Interval methods to solve ODEs provide guaranteed enclosures of the solutions of initial value problems. These methods us"
							
1210	108297442	119441582	0	0	0	1	"ime tosthe in-situ precipitation of CHAp of low crystallinity, whichsgradually achieves a Ca/P ratio of ~1.67, which is very similarsto that of stoichiometric HAp, resulting in the growth of newsbone =-=(6)-=-. A large variety of chemical methods has been reportedsfor the synthesis of HAp, many of which are characterizedsby an inherent simplicity, easy controllability and low cost.sOne of the characteristi"
							
1211	7565534	7230540	1	0	0	0	"subject to K X i=1 b isR 4.2. Burst Noise The other type of channel error is the burst noise, which may cause a continuous period of errors in the bitstream. We adopted the Gilbert-Elliot(G-E) model =-=[6]-=- for burst noise simulation. The G-E model is depicted as Fig. 3, which has two states: G(Good) state is almost error free, and has probability of error (1 \\Gamma k); B(Bad or Burst) state represents "
							
1215	57467080	58219434	0	0	0	1	"at the receiver and at the transmitter. To take into account the overall feedback delay, the receiver predicts the channels at a future time, and feeds the predicted channels back to the transmitter =-=[9]-=-, [24]. We next specify our system model analytically. Let denote the number of transmit antennas, and the number of receive antennas. The spatial channels are assumed to be frequency-flat, and slowly"
							
1220	5244944	5071683	0	0	1	0	"vice, it is well ahead of its ideal allocation (it has a high positive error), and all other clients are behind their allocations (they have low negative errors). 2.3 Fair-Share Fair-share schedulers =-=[10, 16, 18]-=- arose as a result of a need to provide proportional sharing among users in a way compatible with a UNIX-style time-sharing framework. In UNIX time-sharing, scheduling is done based on multi-level fee"
							
1221	48063798	48393114	0	0	0	1	"antum properties, in particular the Hawking temperature. While it is difficult to address these questions strictly within the supergravity/CFT pairs in which the evidence for duality is the strongest =-=[1, 3, 4]-=-, simplified models that aim to capture aspects of the correspondence have been analysed in various contexts [5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,"
							
1223	102673125	111767432	0	0	0	1	"pollen. To cope with thessituation, methods targeting pollen release from treessmight be effective. The development of tree races thatsproduce less total or less allergenic pollen has beensattempted =-=(20)-=-. Planting these new races in place ofswidely distributed anemophilous plants, however, isstime-consuming and costly. Thus, simpler and moreslarge-scale methods to suppress pollen dispersal aresnecess"
							
1224	21277267	20058010	0	0	1	0	"lexity, that Hartmanis, Lewis and Stearns [15, 29] and other started with their classification of languages and functions in terms of the time and space needed to compute them. Cobham [6] and Edmonds =-=[11]-=- in the 1960"
							
1226	60187945	60799356	0	0	0	1	"oned bovine fetuses, contributing to the abnormalities of the vascular system. MATERIAL AND METHODS Sample collection Bovine clones were produced by somatic cell nuclear transfer as described before (=-=Yamazaki et al., 2005-=-). Non-cloned bovines were obtained by natural mating, since the somatic cell nuclear transfer process, and not in vitro manipulation, is reported to induce most alterations in gene expression (Everts"
							
1227	94620106	100887485	0	0	0	1	"be generic, so thatsmany people can use them in many different situations. The genericity of a learning object is affected by the number of references itscontains to the context in which it is used (=-=Hiddink, 2001-=-).sIt has been suggested that to make learning materials generic the designer should avoid using references to local institutions, companies, people, courses, topics, etc. (Hiddink, 2001).sEffective M"
							
1229	187209995	218138731	0	0	0	1	"or the by stander effect. SCID-bg mice were chosen as an animal model to avoid the major effects of the immune system in the experiments. SCID-bg mice, in addition to the characteristics of SCID mice =-=(26)-=-, are also deficient in natural killer cells, and the genetic defect of the bg locus has been characterized recently (36, 37). Recently, it has been claimed that a bystander effect may not be seen in "
							
1230	140710870	160296126	0	0	0	1	"for the globally coupled Kuramoto model [21]. Whether the agreement is a mere coincidence or not, we have not been able to answer yet. Contrary to the percolation transition in randomly grown network =-=[16]-=-, our present model does not show the infinite-order transition. Furthermore, Fig. 5 shows the number of clusters N(s) as a function of cluster size s at subcritical, near-critical,s0s0.5s1s1.5s2 -3 -"
							
1231	36588608	37890045	0	0	1	0	"ine pursuit-evasion scenarios, using minimal sensing. The pursuit-evasion problem was treated originally in a game theoretic framework [3], [9]. Pursuit-evasion in graphs has been studied extensively =-=[1]-=-, [6], [10], [13], [17], [21]. There have been important developments in the study of pursuit-evasion for mobile robots in the plane in recent years. This problem was introduced in [24], as a dynamic "
							
1233	7945423	7594455	0	0	1	0	"number theory problems which have been studied extensively but for which no polynomial-time algorithms have yet been discovered are finding discrete logarithms and factoring integers [Pomerance 1987, =-=Gordon 1993-=-, Lenstra and Lenstra 1993, Adleman and McCurley 1994]. These problems are so widely believed to be hard that several cryptosystems based on their difficulty have been proposed, including the widely u"
							
1234	62948178	63898140	0	0	0	1	"omonad and much is known about trichomoniasis, its pathogenic mechanisms are not well defined. T. vaginalis is an extracellular parasitic protozoan; it adheres to and damages vaginal epithelial cells =-=(15, 43)-=- and lives in the vaginas of women and the urethras of men. Although women may develop specific antibodies to T. vaginalis antigens, the infections do not provide lasting immunity and reinfections are"
							
1235	42832543	44080784	0	0	0	1	"ge V and the Fermi energy EF, via ?=EF+eV; ? labels the scattering eigenstates in the presence of the adatom. When several or many adatoms are present as in this paper, a multiple scattering approach =-=[5]-=- is used to compute LDOS(?r, ?). By definition the LDOS is related to the Green"
							
1236	118127782	132462149	0	0	0	1	"ng, to our knowledge, low-energy data Fig. 3. Total and partial cross-sections in NO2. Total, recommended cross-sections, this work. Ionization: points, Lindsay et al. [13], line, semiempirical model =-=[61]-=-. Dissociative attachment [69]. [26] do not show any sharp peaks in the low-energy region. In the 5"
							
1237	122269534	137540868	0	0	1	0	"ediction errors to be compared to a unit normal. However, with this procedure it is possible in principle that the mean cumulative prediction error and the z-statistic differ in sign (Dodd and Warner =-=[5]-=-). This occurs in a few instances in Tables 3 and 4. 7 We did not find the annual changes in releases or in the rank of a firm to have a significant effect on the magnitude of its abnormal returns. 8 "
							
1239	90141041	95076243	0	0	0	1	"ependent on the membrane potential =-=[19]-=-. However, it is not clear that allsproton symporters are present in the MCC and disruption of MCC domains does not prevent functionsof Can1 Arginine symporters [19].s3. Comparative Analysis of MCC/Eisosomes in Other Model Organism Fungis3.1. Ashbya gossypiisAlthough A. gossypii grows as a filamentous fungus, it is actually much more closely relatedsphytogenetica"
							
1240	117287619	131338486	0	0	0	1	"bination. However, it is unlikely that this mechanism could correspond to homology-facilitated illegitimate recombination known to be at the origin of integration of foreign DNA in Acinetobacter spp. =-=(8)-=-, since no duplication of the target sequence results from this process. To the best of our knowledge, this is the first report of a -lactamase acquisition process not related to integron, transposon"
							
1241	110301904	122116690	0	0	1	0	"E may be implemented using any well-known public key cryptosystem (e.g. RSA, ElGamal, elliptic curve) that supports encryption, without requiring any additional special constraints (unlike e.g. SNAPI =-=[20]-=-) for a safe protocol run.2 In contrast, the majority of existing Password Authentication and Key Exchange (PAKE) protocols which require no known server public key are based on Diffie-Hellman (DH)-ba"
							
1242	119707274	134455320	0	0	0	1	"ove paragraph, one needs to fit an econometric model to the estimated factors Z?t. For example, Hafner (2004) and Cont and da Fonseca (2002) fitted an AR(1) process to each factor, and Fengler et al. =-=(2007)-=- considered a multivariate VAR(2) model. The main question that arises from these applications is whether the inference based on Z?t is equivalent to the one based on Zt. Attempting to give an answer "
							
1243	146851869	165361032	1	0	0	0	"m sup n?? |Tn(x)|? n log log n ? c a.e. x. We deduce lim sup n?? |?n(x)|? n log log n ? c(1? 2??)?1 a.e. x which finishes the proof. 3 Averaging An averaging procedure due to J. Garnett and P. Jones (=-=[GJ]-=-) will be used to go from the discrete situation of Theorem 2 to the continuous one of Theorem 1. Given x ? R, let I?k (x) be the unique interval of D(?) of length 2?k? which contains x. Given a funct"
							
1244	3587022	3479085	0	0	1	0	"e that each node represents a state which is ""objective"" (I.e. represents a set of ground atoms true in the current world). Extensions of these logics have been developed to handle probabili=-=stic data [6]. Cohen an-=-d Levesque [23] extend the generic branching time temporal logic framework as follows. Instead of assuming (as in [32]) that each state is a set of ""objective"" (i.e. modality free) atoms, th"
							
1245	56032595	56708333	1	0	0	0	"different cascades will be endemic in the network. A preferred approach is to work with the most likely state instead of the expectation. The most likely state is estimated using simulated annealing =-=[1]-=- and the complete procedure, called StochColor, is presented in Algorithm 1. Function getColoredPartitions(G C ) uses a breadth first search traversal method, that looks for connected regions having t"
							
1246	89913930	94784653	0	0	1	0	"making it possible to estimate the number of sources correctly, we propose utilizing a sparse distribution modeled by the Dirichlet distribution as the prior of the GMM mixture weight. The authors of =-=[6,7]-=- also derived the EM algorithm, however, they still needed to know the number of sources Ns in advance. On the other hand, our proposed algorithm does not require information on the source number, tha"
							
1247	76622833	78619967	0	0	0	1	"g and synaptic transmission. These rules, in tum, exhibit dynamics which appear paradoxical at the synaptic level but which are seen to support stable coding at the network level. Markram and Tsodyks =-=[21]-=- have recently discovered similar paradoxical dynamics in cortical neurons. Distributed Learning A key step in the derivation of the first family of dART models [3,4] was the specification of dynamic "
							
1248	4730999	4577505	0	0	1	0	"the image unaccounted for. ""Snakes"" [30], use different shape constraints, but also attempt to match each part of the model to some part of the image rather than vice versa. Point distributi=-=on models [31]-=-, recognize the importance of doing both types of matching, i.e. the model must be supported by the data and the model should explain the data. The digit models we propose have a sound generative prob"
							
1249	119467591	134159335	0	0	0	1	"ster-based rendering algorithms follow the same basic structure as the 3D rendering pipeline shared by all current mass-market GPUs. The difference is in where the internode communication takes place =-=[13]-=-. 2.2.1 Sort-first In the Sort-first cluster-based rendering algorithm, the communication takes place at the very beginning of the rendering pipeline. The screen is partitioned into tiles, and only a "
							
1250	45951700	46771475	0	0	1	0	"the group size and d is ? Research sponsored in part by NSF grant ANI-0319168. the key tree degree. This approach was shown to be optimal in terms of server communication cost per user join or leave =-=[20]-=-. To further reduce server processing and bandwidth overheads, periodic batch rekeying was proposed [18, 24, 12, 26]. In batch rekeying, the key server processes the join and leave requests during a r"
							
1251	4254302	4117508	0	0	1	0	problem is being solved in a real-time environment where it is necessary to report the current best solution found at anytime. There are several methods that can be used to obtain a partial solution =-=[3]-=-: 1. Remove variables from the problem. 2. Remove constraints from the problem. 3. Weaken constraints in a problem. 4. Widen the domains of variables to include extra values. Removing a variable from 
							
1252	27083497	26374107	1	0	0	0	"n easily be plugged into the GlomoSim network simulator [1] for use by other networking researchers. To evaluate our mobility model, we use the Ad hoc OnDemand Distance Vector (AODV) routing protocol =-=[17]-=- and compare its performance with our model versus that utilizing the random waypoint model. Simulation results show that the use of obstacles and pathways have a significant impact on the performance"
							
1253	134661831	153183453	0	1	0	0	"i y j xs yt s.t. ?x?=1, ?y?=1, xMk x1, k ?P, yNl y1, l ?Q, (32) where Mk (k ?P) and Nl (l ?Q) are positive semidefinite matrices. The model (32) is also a generalization of the problem studied in =-=[4]-=- and is slightly different from the problem in [6]. In this case, the related bi-linear SDP relaxation of (32) is min :=min (AX )"
							
1254	98613146	106257059	0	0	0	1	"based on mechanical disruption of adipose tissue by a suction cannula moved manually through the subcutaneous space aspirating small fat clusters of adipose tissue through the openings in the cannula =-=[4, 9, 11, 12, 21]-=-. This traditional liposuction procedure of avulsing fat through a mechanically induced negative pressure requires a degree of effort on the part of the physician and can be quite traumatic for the pa"
							
1258	110257612	122056118	0	0	0	1	"en the Fermi level and the frontier orbitalsof the adsorbed species is close in frequency to thesincident light, and an enhancement mechanism occurs,swhich is analogous to the resonance Raman processs=-=[31]-=-. ACTsprocess can also occur via an increase insthe metal's electron-photon coupling in the atomicsscale roughness, which leads to a large productionsof electron-hole pairs. This process is described "
							
1259	81981081	84931423	0	0	1	0	"tions is ? i ?i. Thus, if we do not prevent the re-use of data items, the differential privacy will add up. Eventually, it will be insufficient for the protection of data items. In the PINQ framework =-=[18]-=- the aggregate knowledge gain of the attacker, i.e. the sum of differential privacy over all combined functions, is limited. This is achieved by giving every user a specific, upfront budget of differe"
							
1260	157001969	176503197	1	0	0	0	"ly, it is divided into 20 Local Government Areas (which are similar to provinces). The Lot Quality Assurance Sampling (LQAS) methodology was applied to monitor and evaluate programs and interventions =-=[14, 15]-=- during the course of implementation of TSHIP. LQAS is a small-sample alternative to traditional population based surveys which is increasingly being used for quick and frequent public health evaluati"
							
1261	69207431	70129894	0	0	0	1	", S ? is given by the pole at p2 = M2 i with T ab = ga i gb i p 2 ? M 2 i , (27) where a, b = nn, gg and ss refer to the constituent components. A similar expression for the T matrix is also given in =-=[19,20]-=-, where the ? ?? ? mixing was analyzed in the context of the NJL model. The constant gnn G ? , for example, represents the coupling of the mixed state G? to the quark-antiquark configuration of flavor"
							
1263	3582225	3474817	0	0	0	1	"ense of performing senficonductor device transient simulation and the increasing availability of parallel computers suggest that parallel algorithms be developed and used for this problem. Results in =-=[1]-=- and [2] demonstrate that SIMD type parallel machines can be used effectively for device transient simulation. However, special-purpose SIMD machines have not been cost-effective enough (in terms of h"
							
1264	4020503	3893479	0	0	0	1	"am which guarantee that an assertion will hold. To demonstrate this link between termination checking and termination inference, we apply the framework for backwards analysis described by King and Lu =-=[12-=-] to enhance the termination (checking) analyzer described in [5] to perform also termination inference. We use the domain Pos for groundness dependencies which satises the required properties. The us"
							
1265	182012802	210748804	0	0	0	1	"s continental economy is constructed. The central assumption of perfectlysmobile factors and the equalisation of real marginal returns across cities explicit in models ofscompensating variations (see =-=Roback 1982-=- or, for a more recent application to US urban growth,sGlaeser et al., 1995) cannot reasonably be maintained in the European context. This implies thatsdifferences in GDP per capita between the major "
							
1267	26623601	25870518	0	0	0	1	"opular tools from the nonparametric Bayesian toolbox. Its popularity can be partially explained by the fact that there exist simple and intuitive Gibbs sampling procedures that work well in practice (=-=Escobar & West, 1995-=-; Bush & MacEachern, 1996; MacEachern & M"
							
1269	101963413	110803517	0	0	0	1	"s far back as the elections to the Union-wide Congress of People's Deputies in 1989, to the RSFSR Congress of People's Deputies in 1990, and the Russian Federation presidential election in 1991. See: =-=Berezkin, et al, 1989-=-, and Kolosov, Petrov, and Smirnyagin, 1990. 1 variables must be taken together with place-specific, or contextual, effects to even approach a satisfactory understanding of variations in voting across"
							
1270	189475723	221366858	0	0	1	0	"are sorted using some criterion and scheduled on machines one at a time) are commonly used to approximately solve scheduling problems with parallel machines (Kafura & Shen, 1977; Hwang et al., 2004; =-=Glass & Kellerer, 2007-=-; Ou et al., 2008). For the case of unrelated machines, a well-known algorithm by Lenstra et al. (1990) performs a binary search procedure, in each iteration solving the linear programming relaxation "
							
1273	40461925	42077180	0	0	0	1	"n the work of other researchers who maintain that successful online learners need to be independent, highly motivated, organized, and have sufficient time management skills (Crouch & Montecino, 1997; =-=Cuthell, 2002-=-; Downs & Moller, 1999; Flanigan, 2000; Mulcahy, 2002). Moreover, given the heavy reliance on computer-based technology for access to materials, learners with strong computer literacy skills are clear"
							
1274	143989311	162992684	0	0	0	1	"fferent models. 5.3. Receptor channels with an arbitrary number of subunits For the IP3R it is established that the internal structure consists of four subunits (Suhara et al., 2006; Mikoshiba, 1993; =-=Michikawa et al., 1994-=-; Jiang et al., 2002). However, in nature complexes with an almost arbitrary number of subunits exist (Unwin, 1989). With the theoretical analysis presented here, it is in principle possible to distin"
							
1275	17534909	16400362	0	0	1	0	"? V corresponds to a segment and each edge e ? E corresponds to the coupling cost in HCG(V,E), the CTA problem can be formulate as the Hamiltonian path problem which has been proven to be NP-complete =-=[12]-=-. We resort to a heuristic for the CTA problem. Our track assignment algorithm starts by finding the maximal sets of conflicting segments. This is equivalent to finding the largest clique Vc in the su"
							
1276	102369908	111356967	0	0	0	1	"llosteric effects and offers an explanation for the paradoxical observation that NBD2 is a weak ATPase, yet a point mutation in its substrate binding loop abolishes disaggregation activity of Hsp104 (=-=Lum et al., 2004-=-). Starting with the hexameric state of Hsp104N728A in the presence of ATP (D/T) (Figure 6A), we hypothesize that NBD2 is ATP bound, whereas NBD1 is in a posthydrolysis conformation. In our model, the"
							
1277	2909838	2794303	0	0	1	0	"e alignment of successive images. Using their relative positions, the images can be integrated in a single large picture. Projective transformation and lens distortion have been successfully modelled =-=[3]-=-, so image alignment is not a major problem in mosaic construction. The aim of this paper is to show that a new step must be introduced in the mosaicing process to account for problems that occur when"
							
1280	102730326	111845335	0	0	0	1	"henselae and new methods for the identification and detection of the organism have enabled further clinical manifestations of infections to be determined. These now include cat scratch disease (CSD) =-=(10, 15, 21, 38)-=-, BA (33, 40), peliosis hepatitis (40), septicemia (39), endocarditis (13, 31), and neurological disorders (27). In 1996, Drancourt et al. reported a new serotype of B. henselae named Marseille (10), "
							
1281	3587088	3479132	0	0	1	0	"s is different from what is done in [39, 10, 11, 8, 7]. Collaborative Problem Solving. There has also been extensive work on collaborative problem solving and negotiation in multiagent systems (e.g., =-=[24, 50, 53, 79, 102]-=-). As our approach allows arbitrary decisions, and as negotiation is one form of decision making, our work provides a framework within which various negotiation strategies described in the literature "
							
1282	134747061	153278574	0	0	0	1	"gular diffusion based molecular communication proposed in [10], passive transport through gap junction channels is also proposed in [11]. Different active transport propagations are also possible. In =-=[12]-=-, kinesin molecular motors moving over immobilized MT tracks are proposed for carrying information particles. One disadvantage of this scheme is the challenge associated with alignment of polarity of "
							
1284	93223813	99041764	0	0	1	0	"ided ?6?(?)6??, wp1, where ?(?) is an optimal dual vector associated with constraints D?y = d? for ? = vec(d?; f? ; D?). REMARK 5. NLP1 is a stochastic program with simple recourse (Wets 1966, =-=Ziemba 1974-=-, Wets 1983), which, because of its special structure, can be solved with computational ease compared to stochastic programs with general recourse. In the next section, we describe the models that mus"
							
1285	478750	447689	0	0	1	0	"n several views of an object against differing backgrounds the grouped descriptors particular to that object could be extracted automatically using unsupervised clustering methods similar to those of =-=[18, 23]-=-. 3. Viewpoint invariant descriptors may be used for classical model based object recognition. As illustrated by [13] if viewpoint invariant descriptors are employed far fewer acquisition views are re"
							
1286	144198168	163164584	0	0	0	1	"iate energies, but to date no such measurements have been made. It would be interesting to see what QCD predicts for these negative-parity states. 2. Method It is known as the background field method =-=[5, 6, 7, 8, 9, 10, 11, 12]-=-. For a particle of spin S in an uniform magnetic field, the interaction energy is E"
							
1287	98359709	105909993	0	0	0	1	"for the first time membrane translocation of a polyphemusin I analogue, PM1biotin, in intact bacterial cells. This finding agrees with previously published translocation studies using model membranes =-=(6, 9)-=-. In addition, the absence of cytoplasmic fluorescence in cells treated with peptide but not permeabilized with Triton X-100 indicated that PM1-biotin did not induce significant membrane damage or por"
							
1288	119632469	134364429	0	0	1	0	e of these compression algorithms is further penalized from the fact that the geometry information dominates the connectivity information. A new class of recent geometry-driven compression techniques =-=[42]-=- achieve better overall results encoding the positions of the vertices through recursive subdivision of space and encoding the updates in the connectivity required by each subdivision. A comprehensive
							
1289	90233486	95195685	0	0	1	0	"uality. A possible way of addressing all the above challenges would be to send every query to every database and use known techniques from the domain of keyword search over databases or graphs, e.g., =-=[12, 18, 15, 10, 19, 14, 11]-=-, to retrieve relevant information. However, it is not clear that such approaches are designed to handle the web speed and scale requirements of this problem space. Web queries are in the order of hun"
							
1290	5433569	5248460	0	0	1	0	"lexing service allows scalable request distribution based on per-object state information. Various algorithms for replica placement and request distribution can be implemented in such an environment. =-=[1]-=- presents detailed evaluation of a number of algorithms. In this section, we present a particular scheme which has been used in our simulation study. 3.1 Replica Placement Algorithm The replica placem"
							
1293	20665447	19457904	0	0	1	0	"these algorithms is the preprocessing of the query sequence or the sequence database in order to accelerate searches. In particular, after building an index, such as a suffix tree or array (see e.g. =-=[8]-=-) or a simple list of locations of q-grams (i.e. strings of length q), it can be used for any number of searches. This is important for many applications, where the typically large sequence database r"
							
1294	34866340	34993530	0	0	0	1	"ng, understanding, and managing conceptual schemata by both designers and users. Unfortunately, in the field of data warehousing there still is no consensus about a formalism for conceptual modeling (=-=Sen & Sinha, 2005-=-). The entity/relationship (E/R) model is widespread in the enterprises as a conceptual formalism to provide standard documentation for relational information systems, and a great deal of effort has b"
							
1295	90795251	95915169	0	0	0	1	me by fostering eminent followers in new niches (outward bridges). The mechanism underpinning the concatenation of eminence is the series of interaction rituals taking place among cultural producers (=-=Collins 2004-=-). Overthrowing an established approach to cultural production in a given field requires more than the activities of one or more individuals. Fields are resistant to change (Emirbayer and Johnson 2008
							
1296	6654529	6395633	0	0	1	0	"e same solution as Square: mid-sized S-boxes (8-by-8-bit) used to construct a large S-box (8-by-32-bit). 6.4.2 Algorithmic S-boxes S-boxes can either be large tables, like DES, Khufu/Khafre, and YLCY =-=[YLCY98]-=-, or derived algebraically, like FEAL, LOKI-89/LOKI-91 (and LOKI97 [Bro98]), IDEA, and SAFER. The advantage of the former is that there is no mathematical structure that can potentially be used for cr"
							
